Name,Description,Effect,Responsible,,
Expose State Threats,State threats include the use of spies to influence others. Cyber operations can expose the threat from this activity to prevent it happening again.,2,1,,
Counter Disinformation,"Countering disinformation efforts by rogue actors allows for the truth to be understood, and for people to make their own informed decisions.",2,1,2,
Protect Military Operations,A nation’s military carries some of the most sensitive and dangerous technologies. Protecting these from threats through cyber operations will ensure they remain effective.,5,0,,
Disrupt a Terrorist Group,Terrorist groups represent a serious threat to security. Disrupting these groups makes the nation safer and more secure.,4,2,,
Disrupt State Threats,"Rogue or malign states seek to do damage to others. Through cyber means, they can be constrained and deterred from their activities.",5,0,2,
Influence Behaviours of Hostile Actors,Hostile actors can be persuaded to take other actions or change their plans as a result of cyber influence.,3,0,2,
Prevent Cyber Attacks,"Nations, criminals, and hacktivists carry out attacks on innocent victims. Preventing these makes the world more secure.",2,2,2,
Protect Military Operations,A nation’s military carries some of the most sensitive and dangerous technologies. Protecting these from threats through cyber operations will ensure they remain effective.,5,0,,
Expose State Threats,State threats include the use of spies to influence others. Cyber operations can expose the threat from this activity to prevent it happening again.,2,1,,
Disrupt a Terrorist Group,Terrorist groups represent a serious threat to security. Disrupting these groups makes the nation safer and more secure.,4,2,,
Disrupt Online Criminals,Stopping online criminals from carrying out their operations means innocent people can use the internet safely.,3,1,2,
Expose Illegal Activity,"Exposing the activities of criminals, either publicly or privately, reduces the likelihood of them carrying out illegal actions: in the future.",3,0,,2
Counter Hostle Malware,Uncontrolled malware is used across the world to do damage. Cyber operations can control the spread of malware and protect people.,3,1,,2
Support Law Enforcement,"Cyber operations can be used to track down criminals, expose their activities and protect innocent people. ",4,1,,2
Support to Military Operations,"Cyber operations can support and protect military operations to help them safely meet their mission objectives, giving military commanders a wider set of options for force protection.",6,0,,2
